GeneID,log2FoldChange
MGG_17276,-8.93617300271012
MGG_00270,-6.98859030997312
MGG_01778,3.60913445665503
MGG_17678,-7.2629532614637
MGG_17803,-6.98457071293172
MGG_00506,4.62555669970525
MGG_13773,-5.01401701058819
MGG_11371,-5.03313514577411
MGG_13763,-6.58067574060681
MGG_03883,-3.31707702579617
MGG_00246,-5.35443226655039
MGG_00567,3.93878410575355
MGG_12864,-4.62281187423193
MGG_08890,-6.19759255987204
MGG_05132,-7.06695378260521
MGG_12714,-9.20174346490678
MGG_03036,-5.60263711667765
MGG_00755,-6.94376273859888
MGG_03098,-7.27213125398052
MGG_17474,-6.6312724907763
MGG_05022,-4.97875719325255
MGG_01516,-5.7682384796087796
MGG_02216,-3.64331814588192
MGG_03461,-6.63890923513821
MGG_15628,-4.58670618039455
MGG_16045,-5.6311492093435
MGG_16493,-5.6311492093435
MGG_03353,-6.18173246108806
MGG_01535,-4.91606468056109
MGG_08546,-8.68890905950542
MGG_11649,4.84088659532759
MGG_14340,-6.74074005686108
MGG_17595,-4.5965218894581
MGG_16293,-5.96644555242036
MGG_04407,-4.86331261432783
MGG_07219,9.31913535025737
MGG_02165,-6.74655069391513
MGG_05805,-5.85741554403462
MGG_00753,3.36702097853705
MGG_11606,-6.6062114281278
MGG_10035,-4.75312627376404
MGG_02371,-5.36855115078003
MGG_06539,-5.03986613372584
MGG_11511,-4.41323657439555
MGG_07316,4.1041875536855
MGG_10440,-2.96531287492392
MGG_02526,3.31383041892977
MGG_01906,-5.61935818698492
MGG_08552,-6.94658404409406
MGG_00361,5.27186197094154
MGG_04880,-6.49552653046594
MGG_06316,3.04281482788302
MGG_00194,-4.53580913246923
MGG_14348,-6.69123680606828
MGG_05153,3.68856862828863
MGG_08521,-8.19164794707246
MGG_00394,-4.36781309315675
MGG_08020,-6.19417527805088
MGG_00591,-5.82615266541496
MGG_01547,-6.30506217822417
MGG_17103,-4.11783289456311
MGG_12584,-9.85031755800226
MGG_06144,-3.43406087075162
MGG_13107,-4.65508012375156
MGG_01070,2.68995814904191
MGG_04437,-5.45850846139265
MGG_03846,4.00001020942415
MGG_10646,3.79408552537027
MGG_06523,-5.50737393775967
MGG_09208,4.12595604764708
MGG_08548,-4.16739396682441
MGG_04882,3.60127271817714
MGG_12927,-6.80675443978791
MGG_07306,5.18795538617262
MGG_11906,-5.3585643530546
MGG_04639,-5.68154436273163
MGG_05710,-4.76346577695341
MGG_11991,-6.37910033476812
MGG_09570,-4.42650113107033
MGG_15813,-3.89919445523944
MGG_01291,3.55216794365841
MGG_06957,-2.58622889916032
MGG_14897,-6.41235918350496
MGG_00472,2.56255800557508
MGG_17697,4.4587063113477
MGG_03823,-4.63892865743639
MGG_13578,-7.48462574768674
MGG_07718,3.88589160650374
MGG_12749,-3.79193516509645
MGG_00594,2.93997314215939
MGG_04359,4.02506155830017
MGG_02055,8.78694289464157
MGG_06020,3.35506935411061
MGG_03731,-3.38391250946288
MGG_07627,-7.65170280179125
MGG_01861,-5.07349882853128
MGG_10297,-3.00277749451407
MGG_13557,7.23359657664602
MGG_14085,-5.95822220329121
MGG_17458,-4.99894325850941
MGG_16364,-4.0386411789145
MGG_10925,3.1694120687474
MGG_15154,-8.34383832475565
MGG_04110,-3.64532348965383
MGG_02351,-10.4418875826111
MGG_08542,3.36528923067176
MGG_06904,2.70028805441553
MGG_16704,-3.92757290644316
MGG_11494,3.15429244290671
MGG_17121,-5.47858576461175
MGG_00198,-2.92153730941637
MGG_14774,-4.13483066675539
MGG_14563,4.16755087811532
MGG_15938,-8.66517313105964
MGG_00692,5.22916652556196
MGG_00742,-4.42349164243334
MGG_03880,-5.19416064118341
MGG_03551,3.08622023088606
MGG_06696,3.00169542763327
MGG_08577,5.66840592927992
MGG_10202,-3.12755583439849
MGG_05675,2.84910209277476
MGG_13935,-5.42901672652369
MGG_03628,-2.11734032054169
MGG_04962,-6.61063005095113
MGG_07949,-3.34225920215889
MGG_17894,-7.96152321050373
MGG_08535,-5.30057356430253
MGG_00896,2.76292259376048
MGG_05981,-4.86522829604553
MGG_00532,2.72295387485026
MGG_08620,-5.42521155773267
MGG_05152,-4.34021368313515
MGG_01061,-3.36734093518776
MGG_14872,2.87481054801976
MGG_09467,-6.4853870456855
MGG_04336,-5.13722816800541
MGG_15110,-4.01887861744061
MGG_00343,-3.63095348873108
MGG_00495,-3.20435865245534
MGG_09735,-6.7128672885715
MGG_06089,-3.03831517190649
MGG_00282,-4.7439205307547
MGG_06278,-2.69479133612005
MGG_04555,-3.90456320359147
MGG_06493,-5.6051380661214
MGG_04826,-2.75365031610776
MGG_02088,2.90298148136335
MGG_08193,-6.85470352683313
MGG_09552,2.78884059557239
MGG_14677,3.24819748060946
MGG_12978,-6.85590442739705
MGG_10098,-3.58059023281697
MGG_17733,-3.14751685892622
MGG_17522,-7.31858256502004
MGG_08873,2.78972529968005
MGG_09180,-5.27562384532488
MGG_04366,2.87445211553335
MGG_13254,-2.3705862211745
MGG_12466,-4.47608934052249
MGG_17610,-3.5284393283843
MGG_09505,4.28480577480388
MGG_16904,3.51606081953681
MGG_11470,3.57241232659818
MGG_06364,3.1959741084827
MGG_04966,2.35422487276992
MGG_09830,3.99764711083492
MGG_06449,7.00907293637075
MGG_16515,-4.50451719816745
MGG_07616,-3.87912682180868
MGG_06145,6.79057048818694
MGG_07559,-4.51710031533745
MGG_02531,-3.67680562936935
MGG_14010,4.62419784976006
MGG_04550,4.46426717252671
MGG_07933,-5.05031553620708
MGG_13697,5.4754136155356
MGG_11612,-7.21783248877569
MGG_17426,-5.90051596595257
MGG_14970,-3.83015430136936
MGG_17223,-8.51664756174739
MGG_15572,-5.65819511597396
MGG_02104,-7.2792620425316
MGG_00790,-4.69296771885136
MGG_05639,-5.57615719610344
MGG_10306,-3.8044415555567
MGG_10534,-5.4038602766684
MGG_10504,3.33871272528929
MGG_00587,4.9857350721358
MGG_03548,4.19155911896851
MGG_05058,-3.98530011778844
MGG_14110,-3.88203504774405
MGG_10142,6.70976261204097
MGG_03252,3.79790418835358
MGG_12142,-6.85195517421687
MGG_07170,-3.64259366758062
MGG_04856,3.59298611334038
MGG_11871,-6.37011465594047
MGG_13467,2.78379195551637
MGG_00039,-4.61077969084798
MGG_00721,-8.36198159162138
MGG_14859,-3.57524325221078
MGG_02581,-4.23840800945511
MGG_15272,-4.83566746887063
MGG_01169,-3.97081478314007
MGG_03937,3.23735112640693
MGG_11419,2.22872603337625
MGG_03065,-1.99469402622691
MGG_17346,-5.15749072907524
MGG_08003,6.77378053404715
MGG_12580,3.47882163191969
MGG_02499,3.09690960803694
MGG_04732,-5.40828223789406
MGG_16612,-3.50945667519646
MGG_01741,2.76744186404924
MGG_01935,-7.29708358683885
MGG_15878,-4.90992946513269
MGG_09032,-5.47679008551967
MGG_00678,-4.3346389882904
MGG_05592,-6.43275885775266
MGG_08965,-4.37498199826438
MGG_05727,4.57341958905514
MGG_01585,-2.7246269149027
MGG_02188,-12.8091038968328
MGG_00970,2.99308570474783
MGG_03388,5.59160033262032
MGG_09782,-7.29342113707649
MGG_09729,-7.71052275784675
MGG_12307,-4.048199530977
MGG_13801,-5.2963390197508
MGG_15598,-5.75941742877466
MGG_05599,-4.31557505422812
MGG_10709,-6.20669985821342
MGG_09931,3.90150986177273
MGG_04708,3.78063808805478
MGG_05940,-5.75093150832802
MGG_01220,3.3994673232139
MGG_08462,6.21826433798647
MGG_07763,-3.67072889611266
MGG_04757,6.33223132604179
MGG_11211,3.03905554691429
MGG_07802,-5.22302609483817
MGG_10614,-7.17052655372296
MGG_01092,2.91174355123033
MGG_04667,6.34492713389424
MGG_07973,-4.12024482581418
MGG_10702,-4.16274155489247
MGG_12817,-2.66246715303103
MGG_17614,-5.92301180164142
MGG_07027,4.07886376138605
MGG_16425,-3.62191082189894
